"time","N","S","M"
12.3,46288.5815327075,217.819806702541,0.0471358593728056
12.4,46288.5815327075,219.219396668598,0.0466618194134722
12.5,46288.5815327075,220.613139547178,0.0461942665699629
12.6,46288.5815327075,222.001059575785,0.0457331123239878
12.7,46288.5815327075,223.383181214749,0.045278268172596
12.8,46288.5815327075,224.759528821131,0.044829642333848
12.9,46288.5815327075,226.130126362068,0.044387142135052
13,46288.5815327075,227.494997861528,0.0439506906948885
13.1,46288.5815327075,228.854167240514,0.0435201995024734
13.2,46288.5815327075,230.207658322108,0.0430955819490024
13.3,46288.5815327075,231.555494829521,0.0426767523427799
13.4,46288.5815327075,232.897700386219,0.0422636256520517
13.5,46288.5815327075,234.234298513601,0.0418561177580061
13.6,46288.5815327075,235.56531263994,0.0414541453167835
13.7,46288.5815327075,236.890766093327,0.0410576257828341
13.8,46288.5815327075,238.210682108018,0.0406664774136493
13.9,46288.5815327075,239.525083819844,0.0402806193751515
14,46288.5815327075,240.833994263575,0.0398999718742915
14.1,46288.5815327075,242.137436382663,0.0395244559402579
14.2,46288.5815327075,243.435433019595,0.0391539936145145
14.3,46288.5815327075,244.728006925769,0.0387885078894709
14.4,46288.5815327075,246.015180756402,0.0384279226961193
14.5,46288.5815327075,247.296977072559,0.0380721628545732
14.6,46288.5815327075,248.573418339249,0.037721154210627
14.7,46288.5815327075,249.844526928015,0.0373748236841903
14.8,46288.5815327075,251.110325117649,0.0370330991535353
14.9,46288.5815327075,252.370835093888,0.0366959094485762
15,46288.5815327075,253.626078949651,0.0363631844145545
15.1,46288.5815327075,254.876078685475,0.0360348549126456
15.2,46288.5815327075,256.120856210096,0.0357108528013608
15.3,46288.5815327075,257.360433340406,0.0353911109389638
15.4,46288.5815327075,258.594831802497,0.0350755631813755
15.5,46288.5815327075,259.824073231937,0.0347641443586053
15.6,46288.5815327075,261.048179173582,0.0344567902897324
15.7,46288.5815327075,262.267171082495,0.0341534377846932
15.8,46288.5815327075,263.481070324568,0.0338540246110823
15.9,46288.5815327075,264.689898174902,0.0335584895385235
16,46288.5815327075,265.893675820688,0.0332667722879859
16.1,46288.5815327075,267.092424360451,0.0329788135085627
16.2,46288.5815327075,268.286164804598,0.0326945547945165
16.3,46288.5815327075,269.474918075927,0.0324139386697257
16.4,46288.5815327075,270.658705009685,0.032136908581581
16.5,46288.5815327075,271.837546354104,0.0318634088945998
16.6,46288.5815327075,273.01146277072,0.0315933848741108
16.7,46288.5815327075,274.180474834727,0.0313267826774264
16.8,46288.5815327075,275.344603035385,0.0310635493420776
16.9,46288.5815327075,276.503867776441,0.0308036327726673
17,46288.5815327075,277.658289376277,0.0305469817322557
17.1,46288.5815327075,278.807888068361,0.0302935458354599
17.2,46288.5815327075,279.9526840017,0.0300432755302508
17.3,46288.5815327075,281.092697241294,0.0297961220831118
17.4,46288.5815327075,282.227947768005,0.0295520375759611
17.5,46288.5815327075,283.358455479334,0.0293109748960788
17.6,46288.5815327075,284.484240189687,0.029072887716416
17.7,46288.5815327075,285.605321630891,0.0288377304817051
17.8,46288.5815327075,286.721719451825,0.0286054584091732
17.9,46288.5815327075,287.833453219545,0.0283760274704256
18,46288.5815327075,288.940542419409,0.0281493943761894
18.1,46288.5815327075,290.043006455467,0.0279255165652378
18.2,46288.5815327075,291.140864650452,0.0277043522006517
18.3,46288.5815327075,292.234136246542,0.027485860152386
18.4,46288.5815327075,293.322840405597,0.027269999983466
18.5,46288.5815327075,294.406996209329,0.0270567319422702
18.6,46288.5815327075,295.486622659728,0.0268460169544616
18.7,46288.5815327075,296.561738679459,0.0266378166063902
18.8,46288.5815327075,297.63236311205,0.0264320931344734
18.9,46288.5815327075,298.698514722016,0.0262288094198373
19,46288.5815327075,299.760212195823,0.0260279289723254
19.1,46288.5815327075,300.817474141923,0.0258294159183421
19.2,46288.5815327075,301.870319091009,0.0256332349924566
19.3,46288.5815327075,302.918765496329,0.0254393515304188
19.4,46288.5815327075,303.962831734087,0.0252477314546742
19.5,46288.5815327075,305.002536103423,0.0250583412659667
19.6,46288.5815327075,306.037896827011,0.0248711480342953
19.7,46288.5815327075,307.068932051692,0.0246861193862768
19.8,46288.5815327075,308.0956598486,0.0245032234941151
19.9,46288.5815327075,309.118098213324,0.0243224290687862
20,46288.5815327075,310.136265065945,0.0241437053546029
20.1,46288.5815327075,311.150178251599,0.0239670221146941
20.2,46288.5815327075,312.159855541267,0.023792349618949
20.3,46288.5815327075,313.165314631654,0.0236196586406586
20.4,46288.5815327075,314.166573145648,0.0234489204445501
20.5,46288.5815327075,315.163648631981,0.02328010678123
20.6,46288.5815327075,316.156558566203,0.023113189876463
20.7,46288.5815327075,317.145320351237,0.0229481424205929
20.8,46288.5815327075,318.129951317433,0.0227849375601523
20.9,46288.5815327075,319.110468721989,0.0226235488966201
21,46288.5815327075,320.086889750287,0.022463950472236
