"LNP","LNPp","LNPa","LNPe","mRNAc","protein","hour"
3.01787684671422e-06,0.000677250689078653,6.88302535172199e-07,6.23693982357082e-07,0.00047650446626443,1996.81762914745,57
2.76586018478131e-06,0.000620853747381019,6.2776526937623e-07,5.6539712702556e-07,0.000458539005196919,1978.32006655273,58
2.53501388813639e-06,0.000569153084087832,5.73026347196187e-07,5.13434794570552e-07,0.000441248664203411,1959.15587373785,59
2.32352720243646e-06,0.000521757650104798,5.23425592139974e-07,4.66936970740756e-07,0.000424608332912324,1939.38285021022,60
2.12975238819788e-06,0.000478308932966691,4.78398968254105e-07,4.25184665747913e-07,0.000408593795728883,1919.05585194745,61
1.95218826637729e-06,0.000438478234429048,4.374617988488e-07,3.87580645971045e-07,0.000393181706318059,1898.22691957745,62
1.78946861044059e-06,0.000401964830579126,4.00196586980829e-07,3.53628401686093e-07,0.000378349570448182,1876.94536598158,63
1.64034013381183e-06,0.000368492169490746,3.66232537830708e-07,3.22897053342033e-07,0.00036407570498609,1855.25796758233,64
1.50365442381119e-06,0.000337806253042948,3.35240055328326e-07,2.95012311714299e-07,0.000350339217113,1833.20905114647,65
1.37837545837011e-06,0.000309675828330364,3.06947705315555e-07,2.69687230145436e-07,0.000337119986315914,1810.84052262565,66
1.26354701190278e-06,0.000283887994529192,2.81102716737856e-07,2.46653448624119e-07,0.000324398630583118,1788.1920703936,67
1.1582927045542e-06,0.000260247559127698,2.57477432440306e-07,2.25673483155279e-07,0.000312156484759693,1765.30122857797,68
1.06181097959211e-06,0.000238575735390866,2.358688368823e-07,2.06540713315465e-07,0.000300375575367102,1742.20346756146,69
9.73370639739466e-07,0.00021870860984129,2.16099744551211e-07,1.89081963760903e-07,0.000289038591585997,1718.93229565177,70
8.92300756506589e-07,0.000200495904287583,1.9800826427912e-07,1.73140126035489e-07,0.000278128866740887,1695.51934401869,71
8.17985376986071e-07,0.00018379983178903,1.81445922774386e-07,1.58571715850363e-07,0.000267630354994542,1671.99445217714,72
